date,position,song,artist,track_id,popularity,duration_ms,is_explicit,album_id,release_date,genres,main_genre
2023-05-19,41,Niña Bonita,"Feid, Sean Paul",4VPoFy002PwspvctfYP6zx,88,187653,0,16ScBmKm5WA3RwvTqiQlJd,2023-04-21,"reggaeton, urbano latino",reggaeton
2023-05-19,42,qué le pasa conmigo?,"Nicki Nicole, Rels B",0RD94y2DlYTzEePb4WuVbU,84,167251,0,0pWzIntouGCOZzQsSW6xYc,2023-04-19,argentine trap,argentine trap
2023-05-19,43,Coco Chanel,Eladio Carrion,0PB0O24JqAuNdOAFVJljMS,92,208125,1,6BGN5CVd7koJApotl5Bj8u,2023-03-17,"trap latino, urbano latino, trap",trap latino
2023-05-19,44,Azote - Remix,Lolo OG & Callejero Fino & Alejo Isakk,6862W0OJNwhytsXSpCQZ5k,75,226821,1,7uFvIYuaRywnVcpPKYNd5y,2023-03-08,"rkt, turreo, guaracha",rkt
2023-05-19,45,Vida Gangster,Lauty Gram,4I4FFtKZLtyqw4he9pPtL7,81,170058,1,0cWDantlEEkAwu9Z0gAiMX,2022-12-08,"rkt, turreo, guaracha",rkt
2023-05-19,46,Uno los Dos,Miranda!,6tjz2ZCL2jmPY1jPsbRk2H,69,215248,0,5QL33hpDp6XBWdNsc0VGUO,2023-04-19,latin pop,latin pop
2023-05-19,47,Lisa,Young Miko,44FzVABpR2cciquTqADA0D,86,159306,1,2jy7QlJB9hWgYsajBv4IOt,2023-03-03,trap latino,trap latino
2023-05-19,48,PLAYA DEL INGLÉS,"Quevedo, Myke Towers",3y33vvSSP8dNie0hDK4CvF,84,237525,0,7menGlTCTcVnCbUMKRgu3Z,2023-01-20,unknown,unknown
2023-05-19,49,"Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap & Quevedo,2tTmW7RDtMQtBk7m2rYeSw,93,198937,0,4PNqWiJAfjj32hVvlchV5u,2022-07-06,"argentine trap, trap latino, urbano latino",argentine trap
2023-05-19,50,MORNING,Milo j,1dJhW3HRdLnySFEUhf6VRh,79,123525,0,4BTbG5SHgE030stLkqx48q,2023-02-23,argentine trap,argentine trap
2023-05-20,1,Un Finde | CROSSOVER #2,Big One & FMK & Ke Personajes,3tiJUOfAEqIrLFRQgGgdoY,89,162500,0,7cAfD0HludcAifXAbcIR80,2023-04-04,"argentine trap, cuarteto, cumbia",argentine trap
2023-05-20,2,La Bebe - Remix,Yng Lvcas & Peso Pluma,2UW7JaomAMuX9pZrjVpHAU,99,234352,1,6aBVGuOUEuX18rHxyDWbti,2023-03-17,"reggaeton mexa, reggaeton, electro corridos, dembow belico",reggaeton mexa
2023-05-20,3,M.A - Remix,BM & Callejero Fino & La Joaqui,7JB29gnUowzSGRdIpeVqRQ,85,272727,1,3iggaiQChBAIIfQP8ZH2bR,2023-04-05,"rkt, turreo, cuarteto, cumbia",rkt
2023-05-20,4,Pobre Corazón - En Vivo,"Ke Personajes, Onda Sabanera",1AX4aybSRyXHWrjg27wTFE,84,198930,0,7kNdveFXAKstJ8iNMrwq4Z,2023-03-02,"cumbia, cuarteto",cumbia
2023-05-20,5,Classy 101,Feid & Young Miko,1hZsWUnLbqRw09jLAMQSsb,95,195986,1,0lgs2Sa82lyX89nBUWyUy6,2023-03-31,"reggaeton, urbano latino",reggaeton
2023-05-20,6,un x100to,Grupo Frontera & Bad Bunny,6pD0ufEQq0xdHSsRbg9LBK,100,194563,0,7aGzSSUD8S6IhPCsZSiuMT,2023-04-17,"cumbia norteña, banda, norteño, música mexicana, corrido, corridos tumbados, grupera, tejano, corridos bélicos, ranchera",cumbia norteña
2023-05-20,7,En La Intimidad | CROSSOVER #1,Big One & Emilia & Callejero Fino,7w7BrPbOjF5OxChs2dxFve,85,165854,0,5OT9JgUd8WVWBJgYog7a82,2023-02-01,"argentine trap, cuarteto, cumbia",argentine trap
2023-05-20,8,Ella Baila Sola,Eslabon Armado,3dnP0JxCgygwQH9Gm7q7nb,90,165671,0,3Mm1P5CEEAiuJqBclr2EyU,2023-04-28,"corridos tumbados, sad sierreño, corrido, sierreño, música mexicana, corridos bélicos",corridos tumbados
2023-05-20,9,Ya No Vuelvas (Versión Cuarteto),"Luck Ra, La K'onga, Ke Personajes",0u6JsFiEEXb6kaF0oqyeFi,84,204000,0,3X0T1blaMiY2aev0wrbK1G,2022-12-01,"cuarteto, cumbia, argentine trap",cuarteto
2023-05-20,10,ADIÓS,Maria Becerra,2bNCiY24Eh4saMcc23bvUN,80,160856,1,3iYC1GqtQVjnO63aYDs1nL,2022-12-08,argentine trap,argentine trap
2023-05-20,11,No_se_ve.mp3,Emilia & LUDMILLA & ZECCA,2iIBpwP4FyQ95xgVail3yr,77,203636,1,7sAPapzxqBhYuDe7OxldCN,2023-05-03,argentine trap,argentine trap
2023-05-20,12,Rara Vez,Taiu & Milo j,7MVIfkyzuUmQ716j8U7yGR,92,128677,0,26wRfIX4WqKLKHll9O3KnF,2023-02-08,argentine trap,argentine trap
2023-05-20,13,Yandel 150,Yandel,2oiixB9QMIzhWaHGVlQx4g,90,216148,1,0T4sp7vn9arhvBUAda3foX,2023-01-13,"reggaeton, urbano latino, latin",reggaeton
2023-05-20,14,M.A (Mejores Amigos),BM & Phontana,61wAL7pFMMfvYv9SXIiYAB,83,158309,1,2QaWChONzZgOeHkfB8Bykl,2022-09-20,"rkt, turreo, cuarteto, cumbia",rkt
2023-05-20,15,Perfecta (Versión 2023),"Miranda!, Maria Becerra, FMK",0vUqiSvbUICW3YtTA5ecSX,75,221053,0,5QL33hpDp6XBWdNsc0VGUO,2023-04-19,latin pop,latin pop
2023-05-20,16,Jagger.mp3,Emilia,5XUWO8VqwE4PEkLYAtt7h7,82,155861,0,2qo8j9yZIsx66yDuUho2jp,2023-03-30,argentine trap,argentine trap
2023-05-20,17,TQG,KAROL G,0DWdj2oZMBFSzRsi2Cvfzf,96,197933,1,4kS7bSuU0Jm9LYMosFU2x5,2023-02-24,"reggaeton, latin, urbano latino",reggaeton
2023-05-20,18,Acróstico - Milan + Sasha,Shakira,7txjUEY6McJDJKqIo1Rxjp,85,170785,0,4ZQmQzeicvUGkLxFTI2Dvd,2023-05-11,latin pop,latin pop
2023-05-20,19,Cupido,TINI,04ndZkbKGthTgYSv3xS7en,84,174369,0,3HWlgRjxW0H7fWm1n2LBbE,2023-02-16,latin pop,latin pop
2023-05-20,20,MERCHO,LiL CaKe & Migrantes,1DxEbt6OSbrkRthk6pjZue,90,161451,0,5beJZJo0DqVaPVlA1cHwjj,2022-12-16,argentine trap,argentine trap
2023-05-20,21,BESO,"ROSALÍA, Rauw Alejandro",609E1JCInJncactoMmkDon,96,194543,0,50uChhk7AKkzDKytDixjYW,2023-03-24,latin,latin
2023-05-20,22,Si No Te Tengo / Ángel / Aquello Que Pasó,Ke Personajes,1fKFxmSByZfjwVSbq0PHye,81,428438,0,0BmRinej1BC9Dk6AmpY6ND,2021-08-17,"cumbia, cuarteto",cumbia
2023-05-20,23,Quiero Creer,Luck Ra & La T y La M & Rusherking,4ZXZub1pPCWib6xlSHiTj6,78,145054,0,3X0T1blaMiY2aev0wrbK1G,2023-02-03,"cuarteto, cumbia, argentine trap",cuarteto
2023-05-20,24,Costumbres - Vivo,Damas Gratis & Ke Personajes,6HT88WDVwEJiHEbPuQ5XcB,80,133077,0,5bF1CFdbRtYvsCbVro137h,2022-10-27,"cumbia, cuarteto",cumbia
2023-05-20,25,DISCOTEKA (feat. Locura Mix),The La Planta & BM & Alejo Isakk,5w7RsSgxxBwdVTSyQDj8Bi,77,204480,0,64rUVVmLA2xspGjE2nt6dx,2023-02-16,"cumbia, rkt, cuarteto, turreo",cumbia
2023-05-20,26,Feliz Cumpleaños Ferxxo,Feid,2CeKVsFFXG4QzA415QygGb,89,155960,0,7pijRxgRaBirPz6wDaJIp9,2022-09-14,"reggaeton, urbano latino",reggaeton
2023-05-20,27,AL BORDE,Milo j,3eOkhJYDaTELGhWHBNbf4A,80,148321,1,10vvdzSUQmL6hYsoPDhG3X,2023-04-13,argentine trap,argentine trap
